,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Government Renewables Action Tracker - Transaction Data (01/01/2015 - 06/30/2022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated 12/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyer Data,,,,,,Transaction Overview,,,,,,,,,Development and Operation Details,,,,,,,,Data Source Details,,,,,,,,,,,,,,,,,,,,,,,
Ref. No.,Buyer Name,State,City Latitude,City Longitude,ISO or FERC Region,Announcement Year,Announcement Year (or Operations Year if Announcement Year unavailable),Announcement Date,Technology,Transaction Type,Size of Purchase (MW),DC/AC,Contract Length (Year),Energy Price in Year 1 ($/MWh),Utility Name,Utility Type,Developer Name,Project Name,Project Location,Project State,Operation Start Year,Estimated Annual Generation (MWh),Source 1,Source 2,Source 3,Source 4,Source 5,Notes,,,,,,,,,,,,,,,,,,
11,Alabama Municipal Electric Authority (AMEA),Alabama,32.36945319,-86.12732262,Southeast,,2018,,Solar,Off-site Physical PPA,0.040,AC,,,Alabama Municipal Electric Authority (AMEA),Joint Action Agency,,AMEA Tuskegee Solar Research Project,Tuskegee,Alabama,2018,,https://www.amea.com/power/solar-research/,https://www.sunnyportal.com/Templates/PublicPageOverview.aspx?page=58b4433d-bd49-41a1-a1e7-9617e0daeb10&plant=e0b7f59a-8a9d-4986-a2d2-07707cbb3946&splang=en-US,,,,,,,,,,,,,,,,,,,,,,
12,Alabama Municipal Electric Authority (AMEA),Alabama,32.36945319,-86.12732262,Southeast,2019,2019,05/29/2019,Solar,Off-site Physical PPA,100.000,AC,20,,Alabama Municipal Electric Authority (AMEA),Joint Action Agency,Lightsource BP,Black Bear Solar Energy Project,Montgomery County,Alabama,2022,,https://www.amea.com/2019/05/29/alabama-municipal-electric-authority-announces-100-mw-solar-ppa-with-lightsource-bp/,https://www.lightsourcebp.com/us/projects/black-bear-solar/,https://pv-magazine-usa.com/2021/12/20/130-mw-alabama-solar-project-secures-financing/,,,,,,,,,,,,,,,,,,,,,
13,Unalaska,Alaska,53.8722824,-166.52723,,2020,2020,09/04/2020,Geothermal,Off-site Physical PPA,30.000,,30,,Unalaska Department of Public Utilities Administration ,Municipal Utility,"Ounalashka Corp./Chena Power, LLC (OCCP)",Makushin Geothermal Project,Unalaska,Alaska,2023,,https://www.kucb.org/science-environment/2020-09-08/city-of-unalaska-inks-power-purchase-agreement-for-geothermal-power,,,,,,,,,,,,,,,,,,,,,,,
14,Chandler,Arizona,33.3061605,-111.84125,Southwest,2018,2018,12/17/2018,Solar,Green Tariff,2.700,,,,Salt River Project (SRP),Non-municipal Public-owned Utility,"NextEra Energy Resources, LLC",,Coolidge,Arizona,2021,,https://media.srpnet.com/commercial-and-municipal-customers-sign-up-for-solar-energy-from-srp/,,,,,,,,,,,,,,,,,,,,,,,
15,Gilbert,Arizona,33.3527632,-111.78904,Southwest,2020,2020,05/26/2020,Solar,Green Tariff,2.500,,15,,Salt River Project (SRP),Non-municipal Public-owned Utility,sPower,Central Line Solar,Eloy,Arizona,2022,,https://www.gilbertaz.gov/Home/Components/News/News/3175/628,https://media.srpnet.com/innovative-businesses-cities-and-schoolshigher-education-go-solar-with-salt-river-project/,https://www.gilbertaz.gov/Home/Components/News/News/5029/352,,,,,,,,,,,,,,,,,,,,,
16,Marana,Arizona,32.4679,-111.132,Southwest,,2018,,Solar,On-site,0.099,DC,,,,,Solon,Ora Mae Pool,Marana,Arizona,2018,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
17,Marana,Arizona,32.4679,-111.132,Southwest,,2018,,Solar,On-site,0.140,DC,,,,,Solon,Silverbell District Park,Marana,Arizona,2018,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
18,Marana,Arizona,32.4679,-111.132,Southwest,,2018,,Solar,On-site,0.226,DC,,,,,Solon,Police Department,Marana,Arizona,2018,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
19,Marana,Arizona,32.4679,-111.132,Southwest,,2018,,Solar,On-site,0.402,DC,,,,,Solon,Town Hall,Marana,Arizona,2018,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
20,Mesa,Arizona,33.4151117,-111.83148,Southwest,2018,2018,12/17/2018,Solar,Green Tariff,2.600,,15,,Salt River Project (SRP),Non-municipal Public-owned Utility,"NextEra Energy Resources, LLC",,Coolidge,Arizona,,,https://media.srpnet.com/commercial-and-municipal-customers-sign-up-for-solar-energy-from-srp/,,,,,,,,,,,,,,,,,,,,,,,
21,Navajo Nation,Arizona,36.6072222,-109.2425,Southwest,2019,2019,08/08/2019,Solar,On-site,4.000,,25,23.15,Navajo Tribal Utility Authority (NTUA),Municipal Utility,,Red Mesa Tapaha Solar Generation Plant,Red Mesa,Arizona,2022,,https://ieefa.org/navajo-nation-moving-forward-with-two-solar-projects-totaling-270mw-of-capacity/,https://apnews.com/article/arizona-coronavirus-pandemic-utilities-2655735c217ec623691a6bd496e0c44a?,https://www.ntua.com/assets/red-mesa-tapaha-solar-facility---progress-creates-benefits--.pdf,https://www.heraldextra.com/sanpete-county/news/uamps-members-add-solar-energy-to-resource-mix/article_e2617d24-484d-580b-8098-c2f71b6ae617.html,,,,,,,,,,,,,,,,,,,,
22,Phoenix,Arizona,33.4484367,-112.07414,Southwest,2018,2018,12/17/2018,Solar,Green Tariff,10.100,,15,37.3,Salt River Project (SRP),Non-municipal Public-owned Utility,"NextEra Energy Resources, LLC",,Coolidge,Arizona,,,https://media.srpnet.com/commercial-and-municipal-customers-sign-up-for-solar-energy-from-srp/,,,,,,,,,,,,,,,,,,,,,,,
23,Pima County,Arizona,32.1112624,-111.65462,Southwest,,2018,,Solar,On-site,0.117,DC,,,,,Solon,Ellie Town Community Center,Tucson,Arizona,2018,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
24,Pima County,Arizona,32.1112624,-111.65462,Southwest,,2018,,Solar,On-site,0.125,DC,,,,,Solon,Murphy Wilmot Library,Tucson,Arizona,2018,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
25,Pima County,Arizona,32.1112624,-111.65462,Southwest,,2018,,Solar,On-site,0.140,DC,,,,,Solon,Eckstrom Columbus Library,Tucson,Arizona,2018,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
26,Pima County,Arizona,32.1112624,-111.65462,Southwest,,2018,,Solar,On-site,0.177,DC,,,,,Solon,Wheeler Taft Library,Tucson,Arizona,2018,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
27,Pima County,Arizona,32.1112624,-111.65462,Southwest,,2016,,Solar,On-site,0.187,DC,,,,,Solon,Kino Clubhouse,Tucson,Arizona,2016,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
28,Pima County,Arizona,32.1112624,-111.65462,Southwest,,2016,,Solar,On-site,0.199,DC,,,,,Solon,Adult Probation,Tucson,Arizona,2016,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
29,Pima County,Arizona,32.1112624,-111.65462,Southwest,,2016,,Solar,On-site,0.199,DC,,,,,Solon,Kino Service Center,Tucson,Arizona,2016,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
30,Pima County,Arizona,32.1112624,-111.65462,Southwest,,2016,,Solar,On-site,0.224,DC,,,,,Solon,Nanini Library,Tucson,Arizona,2016,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
31,Pima County,Arizona,32.1112624,-111.65462,Southwest,,2016,,Solar,On-site,0.261,DC,,,,,Solon,Natural Resources Parks & Rec,Tucson,Arizona,2016,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
32,Pima County,Arizona,32.1112624,-111.65462,Southwest,,2016,,Solar,On-site,0.268,DC,,,,,Solon,Sporting Chance,Tucson,Arizona,2016,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
33,Pima County,Arizona,32.1112624,-111.65462,Southwest,,2016,,Solar,On-site,0.272,DC,,,,,Solon,Medical Examiner,Tucson,Arizona,2016,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
34,Pima County,Arizona,32.1112624,-111.65462,Southwest,,2016,,Solar,On-site,0.279,DC,,,,,Solon,Interagency Advocacy Center,Tucson,Arizona,2016,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
