year,generation
2014,695.17
2015,498.41
2016,499.78
2013,12.63
2014,13.07
2015,12.14
2016,13.28
2013,113.92
2014,113.63
2015,106.67
2016,107.09
2013,10.88
2014,10.88
2015,9.26
2016,9.29
2013,259.65
2014,260.13
2015,254.38
2016,246.65
2013,259.65
2014,260.09
2015,254.38
2016,247.29
2013,56.55
2014,64.5
2015,42.08
2016,56.48
2013,82.15
2014,81.47
2015,61.15
2016,74.33
2013,51.53
2014,46.2
2015,34.58
2016,37.72
2013,3.04
2014,3.18
2015,3.15
2016,3.23
2013,150.4
2014,139.62
2015,86.25
2016,132.42
2013,265.85
2014,252.06
2015,163.32
2016,170.37
2013,181.88
2014,182.68
2015,182.44
2016,186.66
2013,312.1
2014,312.1
2015,312.44
2016,317.19
2013,243.23
2014,247.91
2015,235.55
2016,249.84
2013,82.27
2014,82.27
2015,69.95
2016,70.15
2013,73.02
2014,67.03
2015,55.67
2016,60.18
2013,100.69
2014,100.33
2015,100.49
2016,102.08
2013,53.84
2014,51.76
2015,36.63
2016,31.66
2013,266.79
2014,249.41
2015,250.62
2016,264.7
2013,421.46
2014,421.46
2015,275.8
2016,294.86
2013,7.75
2014,7.08
2015,7.27
2016,7.16
2013,119.47
2014,119.05
2015,119.24
2016,121.13
2013,24.17
2014,24.98
2015,24.82
2016,24.65
2013,187.66
2014,177.92
2015,115.28
2016,120.26
2013,68.35
2014,66.53
2015,63.37
2016,64.02
2013,328.41
2014,321.94
2015,194.97
2016,242.67
2013,17.26
2014,17.77
2015,13.3
2016,16.56
2013,168.44
2014,158.36
2015,162.84
2016,169.95
2013,46.47
2014,44.96
2015,46.33
2016,47.14
2013,119.77
2014,119.77
2015,99.46
2016,99.74
2013,109.02
2014,111.72
2015,112.97
2016,110.75
2013,14.89
2014,14.54
2015,9.73
2016,12.57
2013,8.53
2014,8.22
2015,8.35
2016,8.25
2013,809.18
2014,808.07
2015,273.85
2016,363.76
2013,20.8
2014,20.96
2015,20.87
2016,21.41
2013,73.95
2014,72.01
2015,68.04
2016,66.76
2013,19.69
2014,19.08
2015,18.7
2016,18.58
2013,215.04
2014,231.29
2015,130.38
2016,147.43
2013,165.3
2014,164.71
2015,164.97
2016,167.49
2013,1157.27
2014,1159.61
2015,1158.56
2016,1176.71
2013,433.44
2014,431.92
2015,432.6
2016,439.18
2013,47.38
2014,47.38
2015,47.38
2016,48.14
2013,243.32
2014,243.32
2015,194.03
2016,277.31
2013,4.29
2014,4.16
2015,3.14
2016,2.78
2013,318.4
2014,333.39
2015,163.04
2016,177.77
2013,46.48
2014,45.94
2015,27.49
2016,37.04
2013,298.94
2014,285.01
2015,130.24
2016,142.12
2013,2.89
2014,2.86
2015,2.88
2016,2.81
2013,185.48
2014,177.85
2015,117.77
2016,70.75
2013,119.05
2014,122.14
2015,119.47
2016,121.26
2013,18.5
2014,17.87
2015,13.6
2016,10.18
2013,6.04
2014,5.8
2015,5.74
2016,5.59
2013,82.12
2014,87.58
2015,56.48
2016,48.86
2013,12.75
2014,12.75
2015,10.34
2016,11.37
2013,16.98
2014,17.07
2015,12.7
2016,12.69
2013,8.93
2014,8.93
2015,7.17
2016,7.63
2013,25.01
2014,26.21
2015,24.27
2016,25.38
2013,212.26
2014,194.22
2015,109.99
2016,156.37
2013,252.29
2014,247.72
2015,146.04
2016,172.82
2013,19.2
2014,19.36
2015,19.01
2016,20.04
2013,245.99
2014,248.91
2015,233.97
2016,250.13
2013,7.17
2014,7.17
2015,6.24
2016,6.26
2013,38.78
2014,38.65
2015,24.51
2016,37.36
2013,223.85
2014,223.85
2015,168.31
2016,168.78
2013,101.46
2014,96.07
2015,89.89
2016,93.26
2013,363.31
2014,363.31
2015,286.84
2016,287.62
2013,122.37
2014,126.83
2015,101.54
2016,141.77
